id,city,address,area,year,floors,type,passability,revenue,quantity,gain
4948,Владивосток,"ул. Амурская, д. 86","3535,4",1971,5,0,42065,"3359055,25",0,"2504,96280417856"
4947,Владивосток,"ул. Амурская, д. 84","14736,45",1963,5,0,134810,13250799,1,"22227,4708398125"
4946,Владивосток,"ул. Амурская, д. 82","8301,4",1999,11,1,134404,"7931719,5",1,"11297,9350449601"
4945,Владивосток,"ул. Амурская, д. 8",6285,1968,5,0,94462,5997308,1,"7323,14584859178"
4944,Владивосток,"ул. Амурская, д. 7","2989,3",1968,9,0,57376,"2866138,75",0,"2137,37805008263"
4943,Владивосток,"ул. Амурская, д. 6","3887,4",1967,5,0,43212,"3690083,25",0,"2751,82174677607"
4942,Владивосток,"ул. Амурская, д. 57","847,6",1939,3,0,30146,"827577,3125",0,"617,15280967604"
4941,Владивосток,"ул. Амурская, д. 5","6326,2",1967,5,0,66916,6002614,1,"7334,04850889747"
4940,Владивосток,"ул. Амурская, д. 4","3829,75",1967,5,0,35290,"3454621,5",0,"2576,2298372483"
4939,Владивосток,"ул. Амурская, д. 33",2646,1967,5,0,33832,"2516201,75",0,"1876,41801710734"
4938,Владивосток,"ул. Амурская, д. 31","3018,7",1967,9,0,33614,"2864965,5",0,"2136,50311728419"
4937,Владивосток,"ул. Амурская, д. 3","2456,4",1967,5,2,45628,"2348564,25",0,"1751,40497896648"
4936,Владивосток,"ул. Амурская, д. 29","2968,3",1967,9,0,34632,"2818996,5",0,"2102,22245603419"
4935,Владивосток,"ул. Амурская, д. 27",3020,1967,9,0,71658,"2912142,25",0,"2171,68443916689"
4934,Владивосток,"ул. Амурская, д. 25","3019,8",1967,9,2,66358,"2901221,75",0,"2163,54064745551"
4933,Владивосток,"ул. Амурская, д. 23",1681,1968,5,0,56028,"1639309,125",0,"1222,48908608321"
4932,Владивосток,"ул. Амурская, д. 22","3480,5",1967,5,0,55660,3324066,0,"2478,87011939878"
4931,Владивосток,"ул. Амурская, д. 21",2729,1968,5,0,59326,"2624727,5",0,"1957,34939417998"
4930,Владивосток,"ул. Амурская, д. 20","3453,9",1967,5,0,79061,"3327425,25",0,"2481,37522743472"
4929,Владивосток,"ул. Амурская, д. 19","4290,5",1990,5,0,73531,"4104206,75",1,"3433,24010923315"
4928,Владивосток,"ул. Амурская, д. 18","3758,7",1967,5,5,48076,"3564607,5",0,"2658,25017287105"
4927,Владивосток,"ул. Амурская, д. 17","3839,1",1967,5,0,76555,"3685131,75",0,"2748,12924325893"
4926,Владивосток,"ул. Амурская, д. 15","2334,7",1967,5,0,38245,"2230005,5",0,"1662,99164939713"
4925,Владивосток,"ул. Амурская, д. 13","3063,1",1968,9,0,77483,"2959541,5",0,"2207,03168693722"
4924,Владивосток,"ул. Амурская, д. 12","3927,3",1968,5,0,60077,"3747822,75",0,"2794,88007391489"
4923,Владивосток,"ул. Амурская, д. 11",3152,1968,9,0,66823,3029917,0,"2259,51311302435"
4922,Владивосток,"ул. Амурская, д. 10","3732,9",1968,5,0,71252,"3579270,5",0,"2669,18487529897"
4921,Владивосток,"ул. Амурская, д. 1","2458,2",1967,5,4,25023,"2318364,25",0,"1728,88380230939"
4920,Владивосток,"ул. Алтайская, д. 3","4590,2",2004,6,0,54546,4361936,1,"3962,81690222063"
