id,city-address,type,passability,area,Average of money,Average of profit,Average of our_clients,Count of Index
6039,"г. Хабаровск, ул. Карла Маркса, д. 93",0,27508,2272.7,,,,
6040,"г. Хабаровск, ул. Карла Маркса, д. 94",0,64224,3548.3,,,,
6041,"г. Хабаровск, ул. Карла Маркса, д. 97",0,12247,484.6,,,,
6042,"г. Хабаровск, ул. Карла Маркса, д. 99",0,27000,536.2,,,,
6043,"г. Хабаровск, ул. Карла Маркса, д. 99а",3,118192,23823.1,,,,
6044,"г. Хабаровск, ул. Карла Маркса, д. 99Б",0,207259,19927.2,,,,
6045,"г. Хабаровск, ул. Ким Ю Чена, д. 1",0,102651,9735.9,,,,
6046,"г. Хабаровск, ул. Ким Ю Чена, д. 10",0,53538,6321.5,,,,
6047,"г. Хабаровск, ул. Ким Ю Чена, д. 12",0,43478,1836,,,,
6048,"г. Хабаровск, ул. Ким Ю Чена, д. 14",0,48703,2089.5,,,,
6049,"г. Хабаровск, ул. Ким Ю Чена, д. 16",0,33185,3319.7,,,,
6050,"г. Хабаровск, ул. Ким Ю Чена, д. 17",0,64683,2753.8,,,,
6051,"г. Хабаровск, ул. Ким Ю Чена, д. 19",0,31175,3595.1,,,,
6052,"г. Хабаровск, ул. Ким Ю Чена, д. 21",1,49221,3208.4,,,,
6053,"г. Хабаровск, ул. Ким Ю Чена, д. 22",0,35950,4116.9,,,,
6054,"г. Хабаровск, ул. Ким Ю Чена, д. 28",0,23639,2070,,,,
6055,"г. Хабаровск, ул. Ким Ю Чена, д. 30",0,67485,5005.1,,,,
6056,"г. Хабаровск, ул. Ким Ю Чена, д. 39",0,99327,5499.8,,,,
6057,"г. Хабаровск, ул. Ким Ю Чена, д. 4",0,44518,3550.8,,,,
6058,"г. Хабаровск, ул. Ким Ю Чена, д. 43",0,158617,11203.6,,,,
6059,"г. Хабаровск, ул. Ким Ю Чена, д. 45а",1,133176,9089.2,,,,
6060,"г. Хабаровск, ул. Ким Ю Чена, д. 6",0,48984,3089,,,,
6061,"г. Хабаровск, ул. Ким Ю Чена, д. 63",0,125030,7609.3,,,,
6062,"г. Хабаровск, ул. Ким Ю Чена, д. 79",0,113234,9666.4,,,,
6063,"г. Хабаровск, ул. Ким Ю Чена, д. 9а",0,150038,11984,,,,
